fir_number,account_id,bank,number_masked,holder_person_id,is_synthetic
FIR-2024-DAV-0930,AC0021,Axis,XX5712,P0061,True
FIR-2024-DAV-0930,AC0032,HDFC,XX1359,P0061,True
FIR-2025-BEL-0931,AC0045,HDFC,XX6352,P0077,True
FIR-2025-BEL-0931,AC0053,SBI,XX8673,P0077,True
FIR-2024-BEL-0934,AC0040,Canara,XX2591,P0048,True
FIR-2024-BEL-0934,AC0054,SBI,XX3306,P0048,True
FIR-2025-KAL-0937,AC0042,Axis,XX1546,P0021,True
FIR-2025-UDU-0939,AC0014,Canara,XX3868,P0064,True
FIR-2025-SHI-0944,AC0060,Axis,XX7038,P0261,True
FIR-2025-SHI-0944,AC0001,SBI,XX2121,P0261,True
FIR-2025-UDU-0948,AC0050,HDFC,XX3695,P0234,True
FIR-2025-TUM-0952,AC0033,Axis,XX5497,P0282,True
FIR-2025-TUM-0952,AC0059,Union,XX3024,P0282,True
FIR-2025-MAN-0958,AC0017,Axis,XX3344,P0134,True
FIR-2025-RAI-0959,AC0049,Union,XX9221,P0294,True
FIR-2025-RAI-0959,AC0058,SBI,XX5332,P0294,True
FIR-2024-BEN-0963,AC0046,Axis,XX3877,P0204,True
FIR-2025-BEL-0964,AC0051,HDFC,XX8894,P0188,True
FIR-2025-BEL-0964,AC0045,HDFC,XX6352,P0188,True
FIR-2024-KOL-0965,AC0057,SBI,XX7464,P0054,True
FIR-2024-KOL-0965,AC0043,Union,XX6977,P0054,True
FIR-2025-BAL-0966,AC0038,Canara,XX4115,P0012,True
FIR-2024-RAI-0967,AC0020,HDFC,XX1153,P0168,True
FIR-2025-RAI-0969,AC0016,Union,XX4945,P0248,True
FIR-2025-MAN-0970,AC0029,Canara,XX7248,P0008,True
FIR-2025-MAN-0970,AC0039,Union,XX5106,P0008,True
FIR-2025-CHI-0973,AC0039,Union,XX5106,P0061,True
FIR-2025-CHI-0973,AC0033,Axis,XX5497,P0061,True
FIR-2024-BEL-0982,AC0007,SBI,XX1753,P0031,True
FIR-2024-BEL-0982,AC0001,SBI,XX2121,P0031,True
FIR-2025-BAG-0984,AC0057,SBI,XX7464,P0244,True
FIR-2025-KOL-0985,AC0051,HDFC,XX8894,P0068,True
FIR-2024-VIJ-0986,AC0046,Axis,XX3877,P0032,True
FIR-2024-VIJ-0986,AC0052,HDFC,XX6549,P0032,True
FIR-2025-MYS-0989,AC0029,Canara,XX7248,P0012,True
FIR-2025-MYS-0989,AC0010,HDFC,XX8056,P0012,True
FIR-2025-SHI-0997,AC0016,Union,XX4945,P0026,True
FIR-2025-SHI-0997,AC0010,HDFC,XX8056,P0026,True
FIR-2024-BAL-0999,AC0053,SBI,XX8673,P0038,True
FIR-2024-BAL-0999,AC0033,Axis,XX5497,P0038,True
FIR-2025-DAV-1004,AC0006,Canara,XX5906,P0021,True
FIR-2024-MAN-1005,AC0052,HDFC,XX6549,P0104,True
FIR-2024-MAN-1005,AC0039,Union,XX5106,P0104,True
FIR-2024-HAS-1009,AC0022,Union,XX3588,P0110,True
FIR-2025-BEL-1013,AC0042,Axis,XX1546,P0237,True
FIR-2024-SHI-1015,AC0047,Canara,XX3165,P0005,True
FIR-2024-MAN-1017,AC0009,HDFC,XX6873,P0050,True
FIR-2024-MAN-1017,AC0053,SBI,XX8673,P0050,True
FIR-2025-HAS-1018,AC0016,Union,XX4945,P0297,True
FIR-2025-RAI-1021,AC0060,Axis,XX7038,P0006,True
FIR-2025-DAV-1022,AC0015,SBI,XX7267,P0227,True
FIR-2024-UDU-1023,AC0038,Canara,XX4115,P0219,True
FIR-2024-UDU-1023,AC0014,Canara,XX3868,P0219,True
FIR-2025-VIJ-1044,AC0028,Axis,XX2747,P0025,True
FIR-2025-VIJ-1044,AC0004,Axis,XX2612,P0025,True
FIR-2024-DAV-1047,AC0015,SBI,XX7267,P0021,True
FIR-2024-DAV-1047,AC0036,HDFC,XX4770,P0021,True
FIR-2024-BAL-1056,AC0043,Union,XX6977,P0194,True
FIR-2025-BEN-1059,AC0005,SBI,XX8269,P0159,True
FIR-2024-RAI-1064,AC0034,SBI,XX1803,P0055,True
FIR-2024-MYS-1066,AC0006,Canara,XX5906,P0250,True
FIR-2024-BEL-1068,AC0012,Union,XX7751,P0021,True
FIR-2024-DHA-1072,AC0005,SBI,XX8269,P0125,True
FIR-2024-DAK-1075,AC0030,Union,XX6881,P0048,True
FIR-2025-SHI-1078,AC0024,HDFC,XX5901,P0071,True
FIR-2024-BAG-1090,AC0004,Axis,XX2612,P0028,True
FIR-2024-BAG-1090,AC0053,SBI,XX8673,P0028,True
FIR-2025-RAI-1091,AC0019,HDFC,XX8529,P0063,True
FIR-2025-RAI-1091,AC0048,Union,XX6994,P0063,True
FIR-2025-BEN-1094,AC0017,Axis,XX3344,P0220,True
FIR-2025-BEN-1094,AC0038,Canara,XX4115,P0220,True
FIR-2025-MAN-1100,AC0036,HDFC,XX4770,P0012,True
FIR-2025-BEL-1101,AC0026,Axis,XX5949,P0101,True
FIR-2025-BEL-1101,AC0035,Union,XX9138,P0101,True
FIR-2025-KAL-1107,AC0011,Canara,XX5000,P0217,True
FIR-2025-DAK-1109,AC0006,Canara,XX5906,P0014,True
FIR-2024-VIJ-1111,AC0004,Axis,XX2612,P0088,True
FIR-2024-VIJ-1111,AC0010,HDFC,XX8056,P0088,True
FIR-2024-KOL-1112,AC0031,Union,XX5847,P0056,True
FIR-2024-KOL-1112,AC0035,Union,XX9138,P0056,True
FIR-2025-KAL-1116,AC0001,SBI,XX2121,P0024,True
FIR-2025-KAL-1116,AC0050,HDFC,XX3695,P0024,True
FIR-2025-KAL-1117,AC0028,Axis,XX2747,P0010,True
FIR-2025-CHI-1121,AC0032,HDFC,XX1359,P0004,True
FIR-2025-CHI-1121,AC0040,Canara,XX2591,P0004,True
FIR-2024-RAI-1123,AC0043,Union,XX6977,P0052,True
FIR-2025-UDU-1124,AC0060,Axis,XX7038,P0004,True
FIR-2024-DAK-1128,AC0024,HDFC,XX5901,P0253,True
FIR-2024-DAK-1128,AC0002,Canara,XX5708,P0253,True
FIR-2025-DAV-1129,AC0041,SBI,XX6061,P0003,True
FIR-2025-DAV-1129,AC0040,Canara,XX2591,P0003,True
FIR-2024-DAK-1132,AC0055,Canara,XX7511,P0227,True
FIR-2024-DAK-1132,AC0021,Axis,XX5712,P0227,True
FIR-2024-DAK-1136,AC0051,HDFC,XX8894,P0070,True
FIR-2024-DAK-1136,AC0056,Union,XX6992,P0070,True
FIR-2024-KAL-1137,AC0003,Canara,XX2480,P0304,True
FIR-2025-VIJ-1139,AC0032,HDFC,XX1359,P0158,True
FIR-2024-VIJ-1143,AC0051,HDFC,XX8894,P0201,True
FIR-2024-VIJ-1147,AC0036,HDFC,XX4770,P0184,True
FIR-2025-KAL-1152,AC0017,Axis,XX3344,P0018,True
FIR-2024-VIJ-1160,AC0007,SBI,XX1753,P0027,True
FIR-2024-BEN-1162,AC0046,Axis,XX3877,P0318,True
FIR-2025-BEN-1169,AC0052,HDFC,XX6549,P0202,True
FIR-2025-BAL-1170,AC0052,HDFC,XX6549,P0199,True
FIR-2025-BEN-1171,AC0022,Union,XX3588,P0060,True
FIR-2025-DAV-1174,AC0045,HDFC,XX6352,P0230,True
FIR-2024-MYS-1175,AC0029,Canara,XX7248,P0054,True
FIR-2024-KAL-1179,AC0012,Union,XX7751,P0063,True
FIR-2024-KAL-1179,AC0014,Canara,XX3868,P0063,True
FIR-2025-HAS-1196,AC0028,Axis,XX2747,P0273,True
FIR-2025-VIJ-1197,AC0030,Union,XX6881,P0052,True
FIR-2025-VIJ-1197,AC0054,SBI,XX3306,P0052,True
FIR-2024-RAI-1199,AC0045,HDFC,XX6352,P0125,True
FIR-2024-RAI-1199,AC0058,SBI,XX5332,P0125,True
