fir_number,person_id,name,role,age,gender,district,is_synthetic
FIR-2024-BAG-0267,P0042,Siya Master,accused,25,male,Dharwad,True
FIR-2024-BAG-0267,P0018,Uthkarsh Baral,accused,23,male,Belagavi,True
FIR-2024-BAG-0267,V02670,Drishya Mand,victim,34,female,Bagalkot,True
FIR-2024-BEN-0268,P0060,Indrans Grover,accused,33,male,Tumakuru,True
FIR-2024-BEN-0268,V02680,Samar Dara,victim,21,male,Bengaluru City,True
FIR-2024-BEN-0268,V02681,Gatik Deol,victim,19,female,Bengaluru City,True
FIR-2024-RAI-0269,P0227,Rohan Shetty,accused,59,female,Bagalkot,True
FIR-2024-RAI-0269,V02690,Nishith Bobal,victim,65,male,Raichur,True
FIR-2024-BEL-0270,P0301,Navya Vig,accused,35,female,Hassan,True
FIR-2024-BEL-0270,V02700,Badal Dhillon,victim,56,male,Belagavi,True
FIR-2025-BEL-0271,P0026,Ishaan Goyal,accused,32,male,Mysuru,True
FIR-2025-BEL-0271,V02710,Mannat Kadakia,victim,23,male,Belagavi,True
FIR-2024-BEN-0272,P0016,Lavanya Deo,accused,54,male,Tumakuru,True
FIR-2024-BEN-0272,V02720,Indranil Talwar,victim,18,female,Bengaluru City,True
FIR-2024-TUM-0273,P0008,Madhup Kapur,accused,46,male,Bengaluru City,True
FIR-2024-TUM-0273,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2024-TUM-0273,V02730,Kashvi Sen,victim,24,female,Tumakuru,True
FIR-2024-RAI-0274,P0184,Mannat Mane,accused,32,male,Dharwad,True
FIR-2024-RAI-0274,P0169,Armaan Bhagat,accused,46,male,Ballari,True
FIR-2024-RAI-0274,V02740,Kanav Singh,victim,62,male,Raichur,True
FIR-2024-RAI-0274,V02741,Charvi Kurian,victim,32,male,Raichur,True
FIR-2025-BAG-0275,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2025-BAG-0275,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-BAG-0275,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-BAG-0275,V02750,Charvi Wable,victim,71,male,Bagalkot,True
FIR-2025-BAG-0275,V02751,Charvi Apte,victim,20,male,Bagalkot,True
FIR-2025-MAN-0276,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2025-MAN-0276,V02760,Vihaan Krishnan,victim,55,female,Mandya,True
FIR-2024-HAS-0277,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2024-HAS-0277,V02770,Nakul Chokshi,victim,55,female,Hassan,True
FIR-2025-HAS-0278,P0006,Mehul Krishnan,accused,32,male,Raichur,True
FIR-2025-HAS-0278,V02780,Badal Bakshi,victim,71,male,Hassan,True
FIR-2024-BEL-0279,P0145,Keya Majumdar,accused,53,male,Vijayapur,True
FIR-2024-BEL-0279,V02790,Bhamini Raju,victim,19,female,Belagavi,True
FIR-2024-BEL-0279,V02791,Reyansh Loyal,victim,30,male,Belagavi,True
FIR-2025-CHI-0280,P0008,Madhup Kapur,accused,46,male,Bengaluru City,True
FIR-2025-CHI-0280,P0044,Madhup Biswas,accused,34,male,Kolar,True
FIR-2025-CHI-0280,P0020,Kashvi Char,accused,58,male,Dakshina Kannada,True
FIR-2025-CHI-0280,V02800,Emir Kale,victim,49,male,Chickballapura,True
FIR-2025-CHI-0280,V02801,Prerak Seth,victim,62,male,Chickballapura,True
FIR-2024-VIJ-0281,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2024-VIJ-0281,V02810,Tarini Jaggi,victim,51,female,Vijayapur,True
FIR-2025-MAN-0282,P0261,Shray Lata,accused,36,male,Ballari,True
FIR-2025-MAN-0282,P0119,Nakul Deo,accused,41,male,Mandya,True
FIR-2025-MAN-0282,V02820,Azad Iyer,victim,48,female,Mandya,True
FIR-2025-MAN-0282,V02821,Jiya Mand,victim,58,male,Mandya,True
FIR-2025-BAG-0283,P0316,Jiya Rao,accused,44,male,Tumakuru,True
FIR-2025-BAG-0283,V02830,Taran Malhotra,victim,42,female,Bagalkot,True
FIR-2025-BAG-0283,V02831,Devansh Hans,victim,68,female,Bagalkot,True
FIR-2024-RAI-0284,P0047,Vritika Sangha,accused,41,male,Raichur,True
FIR-2024-RAI-0284,P0011,Rasha Kakar,accused,39,male,Tumakuru,True
FIR-2024-RAI-0284,P0071,Lakshit Madan,accused,45,female,Bagalkot,True
FIR-2024-RAI-0284,V02840,Tarini Maharaj,victim,54,male,Raichur,True
FIR-2024-RAI-0284,V02841,Misha Sangha,victim,49,male,Raichur,True
FIR-2024-SHI-0285,P0279,Ivana Ahluwalia,accused,44,male,Hassan,True
FIR-2024-SHI-0285,V02850,Gokul Bava,victim,22,male,Shivamogga,True
FIR-2024-KAL-0286,P0030,Hazel Sethi,accused,59,female,Udupi,True
FIR-2024-KAL-0286,V02860,Umang Sundaram,victim,52,female,Kalaburagi,True
FIR-2024-CHI-0287,P0168,Jayesh Mannan,accused,46,male,Chickballapura,True
FIR-2024-CHI-0287,V02870,Ivana Goswami,victim,54,female,Chickballapura,True
FIR-2025-UDU-0288,P0045,Divij Shroff,accused,24,male,Kolar,True
FIR-2025-UDU-0288,V02880,Kiaan Ramachandran,victim,75,male,Udupi,True
FIR-2025-UDU-0288,V02881,Damini Bahri,victim,71,male,Udupi,True
FIR-2025-SHI-0289,P0042,Siya Master,accused,25,male,Dharwad,True
FIR-2025-SHI-0289,V02890,Armaan Biswas,victim,19,female,Shivamogga,True
FIR-2025-KOL-0290,P0211,Shanaya Venkataraman,accused,44,female,Belagavi,True
FIR-2025-KOL-0290,P0159,Anaya Choudhry,accused,44,male,Udupi,True
FIR-2025-KOL-0290,V02900,Zaina Khalsa,victim,46,male,Kolar,True
FIR-2025-DHA-0291,P0095,Aarna Chand,accused,31,male,Ballari,True
FIR-2025-DHA-0291,V02910,Indrajit Raman,victim,51,male,Dharwad,True
FIR-2025-HAS-0292,P0055,Indranil Karan,accused,28,male,Kolar,True
FIR-2025-HAS-0292,P0031,Ishaan Kashyap,accused,59,female,Kalaburagi,True
FIR-2025-HAS-0292,P0007,Jhanvi Chaudhary,accused,30,female,Ballari,True
FIR-2025-HAS-0292,V02920,Shaan Ramesh,victim,26,female,Hassan,True
FIR-2025-HAS-0292,V02921,Ishaan Hegde,victim,55,female,Hassan,True
FIR-2024-BAL-0293,P0196,Anay Bajaj,accused,21,male,Ballari,True
FIR-2024-BAL-0293,V02930,Kiara Ganguly,victim,63,male,Ballari,True
FIR-2024-BEN-0294,P0040,Hridaan Deo,accused,34,male,Belagavi,True
FIR-2024-BEN-0294,P0016,Lavanya Deo,accused,54,male,Tumakuru,True
FIR-2024-BEN-0294,P0064,Zara Dube,accused,22,male,Hassan,True
FIR-2024-BEN-0294,V02940,Rhea Manda,victim,50,female,Bengaluru City,True
FIR-2025-KAL-0295,P0078,Khushi Choudhary,accused,46,male,Mysuru,True
FIR-2025-KAL-0295,V02950,Anika Tandon,victim,34,male,Kalaburagi,True
FIR-2024-BEN-0296,P0148,Taimur Cheema,accused,53,male,Shivamogga,True
FIR-2024-BEN-0296,V02960,Tushar Gandhi,victim,71,male,Bengaluru City,True
FIR-2024-BEN-0296,V02961,Zeeshan Manne,victim,17,female,Bengaluru City,True
FIR-2024-UDU-0297,P0252,Ivan Raman,accused,44,male,Kolar,True
FIR-2024-UDU-0297,V02970,Yashvi Yogi,victim,28,female,Udupi,True
FIR-2025-CHI-0298,P0045,Divij Shroff,accused,24,male,Kolar,True
FIR-2025-CHI-0298,P0021,Azad Sahota,accused,41,male,Vijayapur,True
FIR-2025-CHI-0298,P0033,Piya Gaba,accused,53,male,Dharwad,True
FIR-2025-CHI-0298,V02980,Kimaya Khalsa,victim,56,female,Chickballapura,True
FIR-2024-RAI-0299,P0018,Uthkarsh Baral,accused,23,male,Belagavi,True
FIR-2024-RAI-0299,V02990,Neysa Srinivas,victim,42,male,Raichur,True
FIR-2025-HAS-0300,P0143,Dhanuk Wagle,accused,37,male,Dharwad,True
FIR-2025-HAS-0300,V03000,Saira Bal,victim,71,male,Hassan,True
FIR-2025-KOL-0301,P0144,Inaaya  Badami,accused,38,female,Shivamogga,True
FIR-2025-KOL-0301,V03010,Jayan Lala,victim,36,male,Kolar,True
FIR-2025-BEL-0302,P0181,Ishita Bhatt,accused,48,male,Mandya,True
FIR-2025-BEL-0302,V03020,Hunar Tara,victim,42,female,Belagavi,True
FIR-2025-BEL-0302,V03021,Arhaan Mangat,victim,44,female,Belagavi,True
FIR-2024-DAK-0303,P0119,Nakul Deo,accused,41,male,Mandya,True
FIR-2024-DAK-0303,V03030,Kanav Andra,victim,30,male,Dakshina Kannada,True
FIR-2024-CHI-0304,P0173,Onkar Bains,accused,33,male,Hassan,True
FIR-2024-CHI-0304,V03040,Saksham Kadakia,victim,47,female,Chickballapura,True
FIR-2024-CHI-0304,V03041,Zain Sant,victim,24,male,Chickballapura,True
FIR-2025-BEN-0305,P0189,Pari Chhabra,accused,23,female,Kalaburagi,True
FIR-2025-BEN-0305,V03050,Zain Krishna,victim,20,male,Bengaluru City,True
FIR-2025-CHI-0306,P0055,Indranil Karan,accused,28,male,Kolar,True
FIR-2025-CHI-0306,V03060,Sara Seth,victim,62,female,Chickballapura,True
FIR-2025-CHI-0306,V03061,Renee Biswas,victim,41,male,Chickballapura,True
FIR-2024-BAL-0307,P0094,Heer Kapur,accused,44,male,Davanagere,True
FIR-2024-BAL-0307,V03070,Jhanvi Gaba,victim,28,female,Ballari,True
FIR-2024-BAG-0308,P0279,Ivana Ahluwalia,accused,44,male,Hassan,True
FIR-2024-BAG-0308,V03080,Eshani Guha,victim,45,female,Bagalkot,True
FIR-2025-RAI-0309,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2025-RAI-0309,P0046,Faiyaz Bose,accused,56,male,Kalaburagi,True
FIR-2025-RAI-0309,V03090,Jayant Karpe,victim,32,female,Raichur,True
FIR-2024-BAG-0310,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2024-BAG-0310,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2024-BAG-0310,V03100,Inaaya  Goel,victim,26,male,Bagalkot,True
FIR-2025-SHI-0311,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-SHI-0311,P0013,Tarini Ganguly,accused,40,male,Mysuru,True
FIR-2025-SHI-0311,V03110,Manjari Khurana,victim,55,female,Shivamogga,True
FIR-2025-CHI-0312,P0120,Hansh Sampath,accused,31,male,Belagavi,True
FIR-2025-CHI-0312,V03120,Nishith Dewan,victim,53,female,Chickballapura,True
FIR-2025-BAG-0313,P0032,Purab Reddy,accused,34,male,Ballari,True
FIR-2025-BAG-0313,P0008,Madhup Kapur,accused,46,male,Bengaluru City,True
FIR-2025-BAG-0313,V03130,Mamooty Dixit,victim,25,male,Bagalkot,True
FIR-2025-SHI-0314,P0014,Divij Gupta,accused,47,male,Udupi,True
FIR-2025-SHI-0314,V03140,Renee Chawla,victim,59,female,Shivamogga,True
FIR-2025-RAI-0315,P0285,Yuvaan Saraf,accused,25,female,Kolar,True
FIR-2025-RAI-0315,P0149,Nitya Behl,accused,36,male,Dharwad,True
FIR-2025-RAI-0315,V03150,Samar Khatri,victim,39,female,Raichur,True
FIR-2025-RAI-0315,V03151,Jhanvi Sunder,victim,68,male,Raichur,True
FIR-2025-TUM-0316,P0164,Darshit Som,accused,53,male,Belagavi,True
FIR-2025-TUM-0316,V03160,Reyansh Bhat,victim,49,male,Tumakuru,True
FIR-2025-TUM-0316,V03161,Vivaan Tank,victim,60,male,Tumakuru,True
FIR-2024-SHI-0317,P0034,Manikya Tara,accused,55,female,Mandya,True
FIR-2024-SHI-0317,P0022,Trisha Dhillon,accused,60,male,Tumakuru,True
FIR-2024-SHI-0317,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2024-SHI-0317,V03170,Trisha Suri,victim,47,male,Shivamogga,True
FIR-2024-SHI-0317,V03171,Riaan Bail,victim,72,male,Shivamogga,True
FIR-2024-BEN-0318,P0186,Romil Dhar,accused,39,female,Dakshina Kannada,True
FIR-2024-BEN-0318,V03180,Riya Baral,victim,42,male,Bengaluru City,True
FIR-2024-BEN-0318,V03181,Ahana  Sagar,victim,37,female,Bengaluru City,True
FIR-2025-VIJ-0319,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-VIJ-0319,V03190,Siya Khatri,victim,35,female,Vijayapur,True
FIR-2025-VIJ-0319,V03191,Krish Thaker,victim,65,male,Vijayapur,True
FIR-2025-HAS-0320,P0124,Dishani Deo,accused,39,female,Ballari,True
FIR-2025-HAS-0320,P0117,Nirvi Manne,accused,55,male,Dharwad,True
FIR-2025-HAS-0320,V03200,Jhanvi Sarin,victim,37,female,Hassan,True
FIR-2025-MYS-0321,P0265,Ayesha Bera,accused,25,male,Kalaburagi,True
FIR-2025-MYS-0321,V03210,Hiran Bhagat,victim,45,female,Mysuru,True
FIR-2025-MYS-0321,V03211,Nirvaan Bakshi,victim,75,male,Mysuru,True
FIR-2024-KAL-0322,P0312,Mahika Raju,accused,20,male,Kolar,True
FIR-2024-KAL-0322,V03220,Navya Dada,victim,52,female,Kalaburagi,True
FIR-2024-HAS-0323,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2024-HAS-0323,V03230,Divyansh Jhaveri,victim,49,female,Hassan,True
FIR-2024-MYS-0324,P0068,Gokul Sahni,accused,33,female,Dharwad,True
FIR-2024-MYS-0324,V03240,Saanvi Keer,victim,28,female,Mysuru,True
FIR-2025-SHI-0325,P0229,Aradhya Choudhary,accused,32,female,Ballari,True
FIR-2025-SHI-0325,V03250,Pihu Solanki,victim,29,male,Shivamogga,True
FIR-2024-BEN-0326,P0243,Anaya Andra,accused,36,male,Chickballapura,True
FIR-2024-BEN-0326,V03260,Aarush Maharaj,victim,45,male,Bengaluru City,True
FIR-2024-BEN-0326,V03261,Yuvraj  Sachdeva,victim,22,female,Bengaluru City,True
FIR-2025-SHI-0327,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-SHI-0327,P0001,Anay Shanker,accused,58,male,Bengaluru City,True
FIR-2025-SHI-0327,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2025-SHI-0327,V03270,Anvi Sachdev,victim,26,female,Shivamogga,True
FIR-2025-KAL-0328,P0010,Tara Swaminathan,accused,35,male,Vijayapur,True
FIR-2025-KAL-0328,V03280,Tanya Dhawan,victim,50,female,Kalaburagi,True
FIR-2025-KAL-0328,V03281,Reyansh Roy,victim,19,male,Kalaburagi,True
FIR-2025-MYS-0329,P0055,Indranil Karan,accused,28,male,Kolar,True
FIR-2025-MYS-0329,P0067,Darshit Sidhu,accused,52,male,Chickballapura,True
FIR-2025-MYS-0329,P0031,Ishaan Kashyap,accused,59,female,Kalaburagi,True
FIR-2025-MYS-0329,V03290,Tiya Basu,victim,37,male,Mysuru,True
FIR-2025-MYS-0329,V03291,Hazel Shankar,victim,61,male,Mysuru,True
FIR-2025-KAL-0330,P0013,Tarini Ganguly,accused,40,male,Mysuru,True
FIR-2025-KAL-0330,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-KAL-0330,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2025-KAL-0330,V03300,Jayant Joshi,victim,25,female,Kalaburagi,True
FIR-2024-BEN-0331,P0062,Kismat Edwin,accused,32,male,Bengaluru City,True
FIR-2024-BEN-0331,V03310,Armaan Toor,victim,65,female,Bengaluru City,True
FIR-2024-BEN-0331,V03311,Vedika Kota,victim,54,male,Bengaluru City,True
FIR-2024-RAI-0332,P0060,Indrans Grover,accused,33,male,Tumakuru,True
FIR-2024-RAI-0332,P0072,Riya Dugal,accused,21,male,Mysuru,True
FIR-2024-RAI-0332,V03320,Siya Viswanathan,victim,51,male,Raichur,True
FIR-2025-TUM-0333,P0210,Ira Kapoor,accused,22,male,Bengaluru City,True
FIR-2025-TUM-0333,V03330,Armaan Agrawal,victim,50,male,Tumakuru,True
FIR-2025-TUM-0333,V03331,Jiya Ramachandran,victim,27,male,Tumakuru,True
FIR-2025-BEL-0334,P0009,Zoya Virk,accused,28,female,Hassan,True
FIR-2025-BEL-0334,P0045,Divij Shroff,accused,24,male,Kolar,True
FIR-2025-BEL-0334,P0057,Damini Singh,accused,52,male,Shivamogga,True
FIR-2025-BEL-0334,V03340,Shamik Dhar,victim,21,male,Belagavi,True
FIR-2025-BEN-0335,P0081,Shalv Banik,accused,49,female,Vijayapur,True
FIR-2025-BEN-0335,V03350,Nayantara Magar,victim,28,male,Bengaluru City,True
FIR-2025-BEN-0335,V03351,Himmat Varghese,victim,59,female,Bengaluru City,True
FIR-2025-SHI-0336,P0316,Jiya Rao,accused,44,male,Tumakuru,True
FIR-2025-SHI-0336,V03360,Purab Char,victim,70,male,Shivamogga,True
FIR-2025-SHI-0336,V03361,Shalv Bumb,victim,70,female,Shivamogga,True
FIR-2025-RAI-0337,P0229,Aradhya Choudhary,accused,32,female,Ballari,True
FIR-2025-RAI-0337,V03370,Neelofar Dave,victim,71,male,Raichur,True
FIR-2025-RAI-0337,V03371,Abram Shan,victim,31,female,Raichur,True
FIR-2025-UDU-0338,P0061,Hrishita Sood,accused,39,male,Raichur,True
FIR-2025-UDU-0338,P0025,Myra Tiwari,accused,42,male,Raichur,True
FIR-2025-UDU-0338,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-UDU-0338,V03380,Vritika Divan,victim,34,male,Udupi,True
FIR-2024-BEN-0339,P0145,Keya Majumdar,accused,53,male,Vijayapur,True
FIR-2024-BEN-0339,V03390,Jayant Ramaswamy,victim,21,male,Bengaluru City,True
FIR-2025-DHA-0340,P0091,Biju Jaggi,accused,22,male,Ballari,True
FIR-2025-DHA-0340,V03400,Aaryahi Kurian,victim,30,male,Dharwad,True
FIR-2025-DHA-0340,V03401,Dhruv Iyer,victim,43,male,Dharwad,True
FIR-2025-MYS-0341,P0106,Indrans Chandran,accused,26,male,Belagavi,True
FIR-2025-MYS-0341,V03410,Kabir Boase,victim,25,female,Mysuru,True
FIR-2025-TUM-0342,P0159,Anaya Choudhry,accused,44,male,Udupi,True
FIR-2025-TUM-0342,V03420,Samarth Dash,victim,55,male,Tumakuru,True
FIR-2025-TUM-0342,V03421,Pranay Handa,victim,73,female,Tumakuru,True
FIR-2025-CHI-0343,P0038,Lakshit Sagar,accused,45,male,Udupi,True
FIR-2025-CHI-0343,P0062,Kismat Edwin,accused,32,male,Bengaluru City,True
FIR-2025-CHI-0343,P0026,Ishaan Goyal,accused,32,male,Mysuru,True
FIR-2025-CHI-0343,V03430,Alia Shetty,victim,56,female,Chickballapura,True
FIR-2025-SHI-0344,P0017,Samiha Karpe,accused,20,male,Shivamogga,True
FIR-2025-SHI-0344,P0041,Nishith Sharma,accused,52,male,Hassan,True
FIR-2025-SHI-0344,P0029,Mahika Ravi,accused,31,male,Vijayapur,True
FIR-2025-SHI-0344,V03440,Shalv Dora,victim,33,female,Shivamogga,True
FIR-2025-SHI-0344,V03441,Pranay Sachdeva,victim,16,male,Shivamogga,True
FIR-2024-BAL-0345,P0312,Mahika Raju,accused,20,male,Kolar,True
FIR-2024-BAL-0345,V03450,Rania Dalal,victim,69,female,Ballari,True
FIR-2025-BAL-0346,P0027,Lakshay Sampath,accused,32,male,Hassan,True
FIR-2025-BAL-0346,V03460,Nitya Bhargava,victim,19,female,Ballari,True
FIR-2025-BAL-0346,V03461,Ryan Buch,victim,64,male,Ballari,True
FIR-2025-CHI-0347,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-CHI-0347,V03470,Piya Krishnamurthy,victim,32,male,Chickballapura,True
FIR-2025-CHI-0347,V03471,Prisha Bhargava,victim,49,female,Chickballapura,True
FIR-2025-HAS-0348,P0298,Rhea Loke,accused,48,female,Ballari,True
FIR-2025-HAS-0348,V03480,Tushar Rana,victim,37,female,Hassan,True
FIR-2025-HAS-0348,V03481,Madhup Bhavsar,victim,33,male,Hassan,True
FIR-2025-BAL-0349,P0162,Mamooty Arora,accused,45,male,Dakshina Kannada,True
FIR-2025-BAL-0349,P0214,Mishti Dar,accused,51,male,Raichur,True
FIR-2025-BAL-0349,V03490,Indrans Karan,victim,59,male,Ballari,True
FIR-2024-KOL-0350,P0029,Mahika Ravi,accused,31,male,Vijayapur,True
FIR-2024-KOL-0350,P0005,Aniruddh Batra,accused,19,male,Vijayapur,True
FIR-2024-KOL-0350,V03500,Zeeshan Sarna,victim,55,male,Kolar,True
FIR-2024-UDU-0351,P0024,Vaibhav Dewan,accused,33,male,Bagalkot,True
FIR-2024-UDU-0351,P0060,Indrans Grover,accused,33,male,Tumakuru,True
FIR-2024-UDU-0351,V03510,Tanya Luthra,victim,65,female,Udupi,True
FIR-2024-UDU-0351,V03511,Tarini Dasgupta,victim,60,female,Udupi,True
FIR-2024-TUM-0352,P0050,Eva Dass,accused,41,male,Ballari,True
FIR-2024-TUM-0352,V03520,Eshani Kapoor,victim,68,female,Tumakuru,True
FIR-2024-TUM-0352,V03521,Dhanuk Manda,victim,27,female,Tumakuru,True
FIR-2024-DHA-0353,P0276,Shaan Chand,accused,48,female,Davanagere,True
FIR-2024-DHA-0353,V03530,Biju Thakkar,victim,18,male,Dharwad,True
FIR-2025-CHI-0354,P0286,Ryan Saini,accused,18,female,Dharwad,True
FIR-2025-CHI-0354,V03540,Kaira Loyal,victim,25,female,Chickballapura,True
FIR-2025-CHI-0354,V03541,Ivan Gade,victim,73,female,Chickballapura,True
FIR-2025-UDU-0355,P0050,Eva Dass,accused,41,male,Ballari,True
FIR-2025-UDU-0355,V03550,Farhan Sangha,victim,23,female,Udupi,True
FIR-2025-UDU-0355,V03551,Saanvi Manne,victim,37,female,Udupi,True
FIR-2024-TUM-0356,P0011,Rasha Kakar,accused,39,male,Tumakuru,True
FIR-2024-TUM-0356,P0035,Zara Dugar,accused,32,male,Kolar,True
FIR-2024-TUM-0356,P0071,Lakshit Madan,accused,45,female,Bagalkot,True
FIR-2024-TUM-0356,V03560,Divij Yogi,victim,40,male,Tumakuru,True
FIR-2025-MAN-0357,P0057,Damini Singh,accused,52,male,Shivamogga,True
FIR-2025-MAN-0357,P0021,Azad Sahota,accused,41,male,Vijayapur,True
FIR-2025-MAN-0357,V03570,Zoya Bala,victim,62,male,Mandya,True
FIR-2025-TUM-0358,P0303,Kaira Dhar,accused,36,male,Chickballapura,True
FIR-2025-TUM-0358,P0159,Anaya Choudhry,accused,44,male,Udupi,True
FIR-2025-TUM-0358,V03580,Hansh Kunda,victim,37,male,Tumakuru,True
FIR-2025-RAI-0359,P0282,Prisha Khanna,accused,36,female,Raichur,True
FIR-2025-RAI-0359,P0109,Badal Master,accused,31,male,Kolar,True
FIR-2025-RAI-0359,V03590,Amani Manda,victim,57,male,Raichur,True
FIR-2025-RAI-0359,V03591,Jhanvi Kashyap,victim,46,male,Raichur,True
FIR-2024-MYS-0360,P0059,Navya Kulkarni,accused,51,female,Belagavi,True
FIR-2024-MYS-0360,P0011,Rasha Kakar,accused,39,male,Tumakuru,True
FIR-2024-MYS-0360,V03600,Samaira Apte,victim,47,male,Mysuru,True
FIR-2024-UDU-0361,P0018,Uthkarsh Baral,accused,23,male,Belagavi,True
FIR-2024-UDU-0361,V03610,Onkar Taneja,victim,64,male,Udupi,True
FIR-2024-BEL-0362,P0092,Yasmin Venkataraman,accused,43,male,Ballari,True
FIR-2024-BEL-0362,V03620,Shanaya Chopra,victim,24,male,Belagavi,True
FIR-2024-DAK-0363,P0054,Faiyaz Din,accused,60,female,Raichur,True
FIR-2024-DAK-0363,V03630,Azad Kakar,victim,60,male,Dakshina Kannada,True
FIR-2024-DAK-0363,V03631,Rati Balay,victim,29,male,Dakshina Kannada,True
FIR-2025-BAG-0364,P0121,Amira Dugar,accused,40,female,Kalaburagi,True
FIR-2025-BAG-0364,P0119,Nakul Deo,accused,41,male,Mandya,True
FIR-2025-BAG-0364,V03640,Darshit Keer,victim,55,male,Bagalkot,True
FIR-2025-BAG-0364,V03641,Reyansh Jayaraman,victim,56,female,Bagalkot,True
FIR-2025-BEN-0365,P0125,Stuvan Wadhwa,accused,35,male,Belagavi,True
FIR-2025-BEN-0365,V03650,Tiya Bir,victim,45,male,Bengaluru City,True
FIR-2025-DAK-0366,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2025-DAK-0366,P0061,Hrishita Sood,accused,39,male,Raichur,True
FIR-2025-DAK-0366,P0049,Vaibhav Raju,accused,49,male,Belagavi,True
FIR-2025-DAK-0366,V03660,Umang Walla,victim,22,male,Dakshina Kannada,True
FIR-2024-DAK-0367,P0010,Tara Swaminathan,accused,35,male,Vijayapur,True
FIR-2024-DAK-0367,P0070,Eva Viswanathan,accused,60,female,Mandya,True
FIR-2024-DAK-0367,P0046,Faiyaz Bose,accused,56,male,Kalaburagi,True
FIR-2024-DAK-0367,V03670,Alia Virk,victim,28,female,Dakshina Kannada,True
FIR-2024-DAK-0367,V03671,Uthkarsh Baria,victim,30,male,Dakshina Kannada,True
FIR-2024-DHA-0368,P0010,Tara Swaminathan,accused,35,male,Vijayapur,True
FIR-2024-DHA-0368,P0058,Dishani Bera,accused,43,male,Bagalkot,True
FIR-2024-DHA-0368,V03680,Neysa Vasa,victim,29,female,Dharwad,True
FIR-2024-VIJ-0369,P0043,Keya Iyengar,accused,28,female,Bengaluru City,True
FIR-2024-VIJ-0369,P0031,Ishaan Kashyap,accused,59,female,Kalaburagi,True
FIR-2024-VIJ-0369,V03690,Fateh Chakraborty,victim,23,female,Vijayapur,True
FIR-2025-DAK-0370,P0250,Jivika Chopra,accused,27,male,Tumakuru,True
FIR-2025-DAK-0370,V03700,Eva Bhatt,victim,69,female,Dakshina Kannada,True
FIR-2025-DAK-0370,V03701,Aarav Shukla,victim,33,male,Dakshina Kannada,True
FIR-2024-BAL-0371,P0054,Faiyaz Din,accused,60,female,Raichur,True
FIR-2024-BAL-0371,P0066,Dharmajan Setty,accused,60,female,Vijayapur,True
FIR-2024-BAL-0371,P0006,Mehul Krishnan,accused,32,male,Raichur,True
FIR-2024-BAL-0371,V03710,Rohan Kata,victim,49,female,Ballari,True
FIR-2024-BAL-0371,V03711,Hazel Gupta,victim,46,male,Ballari,True
FIR-2025-BAL-0372,P0163,Yakshit Gala,accused,51,female,Mysuru,True
FIR-2025-BAL-0372,V03720,Nishith Karpe,victim,24,female,Ballari,True
FIR-2024-SHI-0373,P0191,Nirvi Basak,accused,34,female,Hassan,True
FIR-2024-SHI-0373,P0189,Pari Chhabra,accused,23,female,Kalaburagi,True
FIR-2024-SHI-0373,V03730,Indrans Devi,victim,65,male,Shivamogga,True
FIR-2024-SHI-0373,V03731,Samaira Singhal,victim,71,female,Shivamogga,True
FIR-2025-TUM-0374,P0080,Manikya Bandi,accused,33,male,Dharwad,True
FIR-2025-TUM-0374,V03740,Arhaan Tailor,victim,60,male,Tumakuru,True
FIR-2025-TUM-0374,V03741,Mannat Sinha,victim,66,male,Tumakuru,True
FIR-2025-MYS-0375,P0125,Stuvan Wadhwa,accused,35,male,Belagavi,True
FIR-2025-MYS-0375,V03750,Nakul Chauhan,victim,57,male,Mysuru,True
FIR-2025-VIJ-0376,P0085,Nirvaan Srinivasan,accused,45,female,Kalaburagi,True
FIR-2025-VIJ-0376,V03760,Divyansh Rajan,victim,64,male,Vijayapur,True
FIR-2024-MAN-0377,P0061,Hrishita Sood,accused,39,male,Raichur,True
FIR-2024-MAN-0377,P0037,Jiya Vora,accused,25,male,Dakshina Kannada,True
FIR-2024-MAN-0377,P0025,Myra Tiwari,accused,42,male,Raichur,True
